,DATA,RECUPERADOS/DIA,INTERNADOS/DIA,cases_7,cases_14,observation_7,observation_14
0,2020-03-23,0.0,0.0,3,15,0,0
1,2020-03-24,0.0,0.0,8,6,0,0
2,2020-03-25,2.0,2.0,10,10,0,0
3,2020-03-26,6.0,6.0,9,19,0,0
4,2020-03-27,3.0,3.0,0,16,0,0
5,2020-03-28,2.0,2.0,14,0,0,0
6,2020-03-29,1.0,1.0,20,20,0,0
7,2020-03-30,3.0,3.0,15,17,0,0
8,2020-03-31,8.0,8.0,6,9,0,0
9,2020-04-01,10.0,10.0,10,26,0,0
10,2020-04-02,9.0,9.0,19,17,0,0
11,2020-04-03,0.0,0.0,16,15,0,0
12,2020-04-04,14.0,14.0,0,6,0,0
13,2020-04-05,20.0,20.0,20,25,0,0
14,2020-04-06,15.0,15.0,17,16,0,0
15,2020-04-07,6.0,6.0,9,1,0,0
16,2020-04-08,10.0,10.0,26,19,0,0
17,2020-04-09,19.0,19.0,17,25,0,0
18,2020-04-10,16.0,16.0,15,6,0,0
19,2020-04-11,0.0,0.0,6,7,0,0
20,2020-04-12,20.0,20.0,25,21,0,0
21,2020-04-13,17.0,17.0,16,25,0,0
22,2020-04-14,9.0,9.0,1,34,0,0
23,2020-04-15,26.0,26.0,19,8,0,0
24,2020-04-16,17.0,17.0,25,20,0,0
25,2020-04-17,15.0,15.0,6,16,0,0
26,2020-04-18,6.0,6.0,7,10,0,0
27,2020-04-19,25.0,25.0,21,16,0,0
28,2020-04-20,16.0,16.0,25,25,0,0
29,2020-04-21,1.0,1.0,34,14,0,0
30,2020-04-22,19.0,19.0,8,24,0,0
31,2020-04-23,25.0,25.0,20,43,0,0
32,2020-04-24,6.0,6.0,16,36,0,0
33,2020-04-25,7.0,7.0,10,11,0,0
34,2020-04-26,21.0,21.0,16,8,0,0
35,2020-04-27,25.0,25.0,25,62,0,0
36,2020-04-28,34.0,34.0,14,70,0,1
37,2020-04-29,8.0,8.0,24,45,0,0
38,2020-04-30,20.0,20.0,43,58,0,0
39,2020-05-01,16.0,16.0,36,23,0,0
40,2020-05-02,10.0,10.0,11,28,0,0
41,2020-05-03,16.0,16.0,8,7,0,0
42,2020-05-04,25.0,25.0,62,55,0,0
43,2020-05-05,14.0,14.0,70,26,1,0
44,2020-05-06,24.0,24.0,45,41,0,0
45,2020-05-07,43.0,43.0,58,55,0,0
46,2020-05-08,36.0,36.0,23,150,0,1
47,2020-05-09,11.0,11.0,28,4,0,0
48,2020-05-10,8.0,8.0,7,6,0,0
49,2020-05-11,62.0,62.0,55,22,0,0
50,2020-05-12,70.0,70.0,26,29,0,0
51,2020-05-13,45.0,45.0,41,162,0,1
52,2020-05-14,58.0,58.0,55,29,0,0
53,2020-05-15,23.0,23.0,150,106,1,1
54,2020-05-16,28.0,28.0,4,18,0,0
55,2020-05-17,7.0,7.0,6,4,0,0
56,2020-05-18,55.0,55.0,22,19,0,0
57,2020-05-19,26.0,26.0,29,119,0,1
58,2020-05-20,41.0,41.0,162,44,1,0
59,2020-05-21,55.0,55.0,29,200,0,1
60,2020-05-22,150.0,150.0,106,115,1,1
61,2020-05-23,4.0,4.0,18,22,0,0
62,2020-05-24,6.0,6.0,4,10,0,0
63,2020-05-25,22.0,22.0,19,17,0,0
64,2020-05-26,29.0,29.0,119,83,1,1
65,2020-05-27,162.0,162.0,44,238,0,1
