DATA,RECUPERADOS/DIA,INTERNADOS/DIA
2020-03-23,0.0,0.0
2020-03-24,0.0,0.0
2020-03-25,2.0,2.0
2020-03-26,6.0,6.0
2020-03-27,3.0,3.0
2020-03-28,2.0,2.0
2020-03-29,1.0,1.0
2020-03-30,3.0,3.0
2020-03-31,8.0,8.0
2020-04-01,10.0,10.0
2020-04-02,9.0,9.0
2020-04-03,0.0,0.0
2020-04-04,14.0,14.0
2020-04-05,20.0,20.0
2020-04-06,15.0,15.0
2020-04-07,6.0,6.0
2020-04-08,10.0,10.0
2020-04-09,19.0,19.0
2020-04-10,16.0,16.0
2020-04-11,0.0,0.0
2020-04-12,20.0,20.0
2020-04-13,17.0,17.0
2020-04-14,9.0,9.0
2020-04-15,26.0,26.0
2020-04-16,17.0,17.0
2020-04-17,15.0,15.0
2020-04-18,6.0,6.0
2020-04-19,25.0,25.0
2020-04-20,16.0,16.0
2020-04-21,1.0,1.0
2020-04-22,19.0,19.0
2020-04-23,25.0,25.0
2020-04-24,6.0,6.0
2020-04-25,7.0,7.0
2020-04-26,21.0,21.0
2020-04-27,25.0,25.0
2020-04-28,34.0,34.0
2020-04-29,8.0,8.0
2020-04-30,20.0,20.0
2020-05-01,16.0,16.0
2020-05-02,10.0,10.0
2020-05-03,16.0,16.0
2020-05-04,25.0,25.0
2020-05-05,14.0,14.0
2020-05-06,24.0,24.0
2020-05-07,43.0,43.0
2020-05-08,36.0,36.0
2020-05-09,11.0,11.0
2020-05-10,8.0,8.0
2020-05-11,62.0,62.0
2020-05-12,70.0,70.0
2020-05-13,45.0,45.0
2020-05-14,58.0,58.0
2020-05-15,23.0,23.0
2020-05-16,28.0,28.0
2020-05-17,7.0,7.0
2020-05-18,55.0,55.0
2020-05-19,26.0,26.0
2020-05-20,41.0,41.0
2020-05-21,55.0,55.0
2020-05-22,150.0,150.0
2020-05-23,4.0,4.0
2020-05-24,6.0,6.0
2020-05-25,22.0,22.0
2020-05-26,29.0,29.0
2020-05-27,162.0,162.0
2020-05-28,29.0,29.0
2020-05-29,106.0,106.0
2020-05-30,18.0,18.0
2020-05-31,4.0,4.0
2020-06-01,19.0,19.0
2020-06-02,119.0,119.0
2020-06-03,44.0,44.0
2020-06-04,200.0,200.0
2020-06-05,115.0,115.0
2020-06-06,22.0,22.0
2020-06-07,10.0,10.0
2020-06-08,17.0,17.0
2020-06-09,83.0,83.0
2020-06-10,238.0,238.0
2020-06-11,36.0,36.0
2020-06-12,173.0,173.0
2020-06-13,13.0,13.0
2020-06-14,6.0,6.0
2020-06-15,30.0,30.0
2020-06-16,115.0,115.0
2020-06-17,58.0,58.0
2020-06-18,257.0,257.0
2020-06-19,239.0,239.0
2020-06-20,0.0,0.0
2020-06-21,44.0,44.0
2020-06-22,22.0,22.0
2020-06-23,490.0,490.0
2020-06-24,61.0,61.0
2020-06-25,-240.0,-240.0
2020-06-26,1020.0,1020.0
2020-06-27,257.0,257.0
2020-06-28,87.0,87.0
2020-06-29,208.0,208.0
2020-06-30,239.0,239.0
2020-07-01,148.0,148.0
2020-07-02,316.0,316.0
2020-07-03,265.0,265.0
2020-07-04,304.0,304.0
2020-07-05,101.0,101.0
2020-07-06,193.0,193.0
2020-07-07,272.0,272.0
2020-07-08,433.0,433.0
2020-07-09,384.0,384.0
2020-07-10,385.0,385.0
2020-07-11,136.0,136.0
2020-07-12,266.0,266.0
2020-07-13,1.0,1.0
2020-07-14,494.0,494.0
2020-07-15,659.0,659.0
2020-07-16,298.0,298.0
2020-07-17,419.0,419.0
2020-07-18,177.0,177.0
2020-07-19,82.0,82.0
2020-07-20,116.0,116.0
2020-07-21,349.0,349.0
2020-07-22,378.0,378.0
2020-07-23,177.0,177.0
2020-07-24,287.0,287.0
2020-07-25,879.0,879.0
2020-07-26,274.0,274.0
2020-07-27,-721.0,-721.0
2020-07-28,573.0,573.0
2020-07-29,576.0,576.0
2020-07-30,383.0,383.0
2020-07-31,238.0,238.0
2020-08-01,179.0,179.0
2020-08-02,152.0,152.0
2020-08-03,213.0,213.0
2020-08-04,234.0,234.0
2020-08-05,253.0,253.0
2020-08-06,519.0,519.0
2020-08-07,318.0,318.0
2020-08-08,145.0,145.0
2020-08-09,102.0,102.0
2020-08-10,222.0,222.0
2020-08-11,494.0,494.0
2020-08-12,342.0,342.0
2020-08-13,333.0,333.0
2020-08-14,516.0,516.0
2020-08-15,129.0,129.0
2020-08-16,66.0,66.0
2020-08-17,260.0,260.0
2020-08-18,406.0,406.0
2020-08-19,307.0,307.0
2020-08-20,236.0,236.0
2020-08-21,414.0,414.0
2020-08-22,811.0,811.0
2020-08-23,-143.0,-143.0
2020-08-24,-75.0,-75.0
2020-08-25,381.0,381.0
2020-08-26,231.0,231.0
2020-08-27,283.0,283.0
2020-08-28,317.0,317.0
2020-08-29,327.0,327.0
2020-08-30,-93.0,-93.0
2020-08-31,229.0,229.0
2020-09-01,253.0,253.0
2020-09-02,388.0,388.0
2020-09-03,359.0,359.0
2020-09-04,234.0,234.0
2020-09-05,190.0,190.0
2020-09-06,150.0,150.0
2020-09-07,44.0,44.0
2020-09-08,150.0,150.0
2020-09-09,260.0,260.0
2020-09-10,288.0,288.0
2020-09-11,301.0,301.0
2020-09-12,183.0,183.0
2020-09-13,69.0,69.0
2020-09-14,204.0,204.0
2020-09-15,279.0,279.0
2020-09-16,355.0,355.0
2020-09-17,228.0,228.0
2020-09-18,272.0,272.0
2020-09-19,137.0,137.0
2020-09-20,68.0,68.0
2020-09-21,284.0,284.0
2020-09-22,278.0,278.0
2020-09-23,385.0,385.0
2020-09-24,275.0,275.0
2020-09-25,249.0,249.0
2020-09-26,154.0,154.0
2020-09-27,154.0,154.0
2020-09-28,154.0,154.0
2020-09-29,355.0,355.0
2020-09-30,271.0,271.0
2020-10-01,211.0,211.0
2020-10-02,215.0,215.0
2020-10-03,68.0,68.0
2020-10-04,64.0,64.0
2020-10-05,145.0,145.0
2020-10-06,291.0,291.0
2020-10-07,206.0,206.0
2020-10-08,284.0,284.0
2020-10-09,230.0,230.0
2020-10-10,83.0,83.0
2020-10-11,-126.0,-126.0
2020-10-12,243.0,243.0
2020-10-13,259.0,259.0
2020-10-14,607.0,607.0
2020-10-15,246.0,246.0
2020-10-16,184.0,184.0
2020-10-17,130.0,130.0
2020-10-18,58.0,58.0
2020-10-19,219.0,219.0
2020-10-20,211.0,211.0
2020-10-21,279.0,279.0
2020-10-22,923.0,923.0
2020-10-23,300.0,300.0
2020-10-24,88.0,88.0
2020-10-25,48.0,48.0
2020-10-26,173.0,173.0
2020-10-27,213.0,213.0
2020-10-28,-607.0,-607.0
2020-10-29,293.0,293.0
2020-10-30,138.0,138.0
2020-10-31,72.0,72.0
2020-11-01,77.0,77.0
2020-11-02,36.0,36.0
2020-11-03,131.0,131.0
2020-11-04,157.0,157.0
2020-11-05,191.0,191.0
2020-11-06,340.0,340.0
2020-11-07,-118.0,-118.0
2020-11-08,97.0,97.0
2020-11-09,193.0,193.0
2020-11-10,103.0,103.0
2020-11-11,106.0,106.0
2020-11-12,266.0,266.0
2020-11-13,265.0,265.0
2020-11-14,67.0,67.0
2020-11-15,23.0,23.0
2020-11-16,170.0,170.0
2020-11-17,220.0,220.0
2020-11-18,190.0,190.0
2020-11-19,221.0,221.0
2020-11-20,475.0,475.0
2020-11-21,70.0,70.0
2020-11-22,27.0,27.0
2020-11-23,6.0,6.0
2020-11-24,264.0,264.0
2020-11-25,218.0,218.0
2020-11-26,260.0,260.0
2020-11-27,179.0,179.0
2020-11-28,13.0,13.0
2020-11-29,99.0,99.0
2020-11-30,361.0,361.0
2020-12-01,269.0,269.0
2020-12-02,360.0,360.0
2020-12-03,-43.0,-43.0
2020-12-04,350.0,350.0
2020-12-05,110.0,110.0
2020-12-06,9.0,9.0
2020-12-07,257.0,257.0
2020-12-08,226.0,226.0
2020-12-09,353.0,353.0
2020-12-10,392.0,392.0
2020-12-11,251.0,251.0
2020-12-12,169.0,169.0
2020-12-13,14.0,14.0
2020-12-14,286.0,286.0
2020-12-15,266.0,266.0
2020-12-16,1001.0,1001.0
2020-12-17,344.0,344.0
2020-12-18,-162.0,-162.0
2020-12-19,144.0,144.0
2020-12-20,49.0,49.0
2020-12-21,304.0,304.0
2020-12-22,186.0,186.0
2020-12-23,595.0,595.0
2020-12-24,139.0,139.0
2020-12-25,69.0,69.0
2020-12-26,52.0,52.0
2020-12-27,75.0,75.0
2020-12-28,452.0,452.0
